0,why is brazil so violent,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.555, 'neu': 0.445, 'pos': 0.0, 'compound': -0.7177}
1,why is brazil so big,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why is brazil called brazil,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why is brazil in recession,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.4215}
4,why is brazil poor,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.508, 'neu': 0.492, 'pos': 0.0, 'compound': -0.4767}
5,why is brazil so corrupt,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why is brazil important,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.2023}
7,why is brazil protesting,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.483, 'neu': 0.517, 'pos': 0.0, 'compound': -0.4215}
8,why is brazil so populated,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,why is brazil so expensive,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why is brazil hosting the olympics,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why is brazil so hot,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,why is brazil portuguese,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,why is brazil so rich in hydroelectric power,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.0, 'neu': 0.603, 'pos': 0.397, 'compound': 0.6825}
14,why is brazil so diverse,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,why is brazil an emerging market,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,why is brazil spelled with an s,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,why is brazil a superpower,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,why is brazil in the news,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,why is brazil dangerous,2016-04-27 21:42:57,why is brazil ,com.py,en,google, {'neg': 0.508, 'neu': 0.492, 'pos': 0.0, 'compound': -0.4767}
0,why brazil is in recession,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.4215}
1,why brazil is famous,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why brazil is the best,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}
3,why brazil is important,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.2023}
4,why brazil is so poor,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.499, 'neu': 0.501, 'pos': 0.0, 'compound': -0.6113}
5,why brazil is dangerous,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.508, 'neu': 0.492, 'pos': 0.0, 'compound': -0.4767}
6,why brazil is an emerging market,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why brazil is a developing country,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,why brazil is a good place to visit,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}
9,why brazil is a closed economy,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why brazil is freaking out,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.4215}
11,why brazil is amazing,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.0, 'neu': 0.441, 'pos': 0.559, 'compound': 0.5859}
12,why brazil is so violent,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.555, 'neu': 0.445, 'pos': 0.0, 'compound': -0.7177}
13,why brazil is called brazil,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,why brazil is the best country in the world,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.6369}
15,why brazil is better than america,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}
16,why brazil is so big,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,why brazil is the best country,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}
18,why brazil is so dangerous,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.499, 'neu': 0.501, 'pos': 0.0, 'compound': -0.6113}
19,why brazil is the worst country,2016-04-27 21:42:57,why brazil is ,com.py,en,google, {'neg': 0.451, 'neu': 0.549, 'pos': 0.0, 'compound': -0.6249}
0,why is brazil spelled brasil,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why is brazil a developing country,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why is brazil so expensive,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why is brazil so violent,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.555, 'neu': 0.445, 'pos': 0.0, 'compound': -0.7177}
4,why is brazil so dangerous,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.499, 'neu': 0.501, 'pos': 0.0, 'compound': -0.6113}
5,why is brazil so poor,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.499, 'neu': 0.501, 'pos': 0.0, 'compound': -0.6113}
6,why is brazil so big,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why is brazil spelt brasil,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,why is brazil so good at soccer,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.5777}
9,why is brazil spelled with a z and brasilia with a s,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why is brazil protesting the world cup,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.4215}
11,why is brazil famous,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,why is brazil spelt with an s,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,why is brazil spelled with an s,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,why is brazil so good at football,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.5777}
15,why is brazil an emerging market economy,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,why is brazil poor,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.508, 'neu': 0.492, 'pos': 0.0, 'compound': -0.4767}
17,why is brazil portuguese and not spanish,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,why is brazil important,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.2023}
19,why is brazil sometimes spelled with an s,2016-04-27 21:42:57,is why brazil ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,this is why brazil lost,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.3182}
1,this is why brazil lost 9gag,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.3182}
2,why is brazil a developing country,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why is brazil so expensive,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why is brazil so violent,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.555, 'neu': 0.445, 'pos': 0.0, 'compound': -0.7177}
5,why is brazil so dangerous,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.499, 'neu': 0.501, 'pos': 0.0, 'compound': -0.6113}
6,why is brazil so poor,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.499, 'neu': 0.501, 'pos': 0.0, 'compound': -0.6113}
7,why is brazil so big,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,why is brazil so good at soccer,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.5777}
9,why is brazil protesting the world cup,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.4215}
10,why is brazil famous,2016-04-27 21:42:57,is brazil why ,com.py,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
