0,men's brazilian wax,2016-04-27 21:43:50,men why are brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,men's brazilian wax stories,2016-04-27 21:43:50,men why are brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,men's brazilian wax before and after,2016-04-27 21:43:50,men why are brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,men's brazilian wax chicago,2016-04-27 21:43:50,men why are brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,men's brazilian wax sydney,2016-04-27 21:43:50,men why are brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,men's brazilian wax houston,2016-04-27 21:43:50,men why are brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,men's brazilian wax edmonton,2016-04-27 21:43:50,men why are brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,men's brazilian wax toronto,2016-04-27 21:43:50,men why are brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,men's brazilian wax los angeles,2016-04-27 21:43:50,men why are brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,men's brazilian wax dallas,2016-04-27 21:43:50,men why are brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,men's brazilian wax mississauga,2016-04-27 21:43:50,men why are brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,men's brazilian wax melbourne,2016-04-27 21:43:50,men why are brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,men's brazilian wax images,2016-04-27 21:43:50,men why are brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,men's brazilian wax denver,2016-04-27 21:43:50,men why are brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,men's brazilian wax philadelphia,2016-04-27 21:43:50,men why are brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,men's brazilian wax perth,2016-04-27 21:43:50,men why are brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,men's brazilian wax,2016-04-27 21:43:50,men are why brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,men's brazilian wax stories,2016-04-27 21:43:50,men are why brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,men's brazilian wax before and after,2016-04-27 21:43:50,men are why brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,men's brazilian wax chicago,2016-04-27 21:43:50,men are why brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,men's brazilian wax sydney,2016-04-27 21:43:50,men are why brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,men's brazilian wax houston,2016-04-27 21:43:50,men are why brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,men's brazilian wax edmonton,2016-04-27 21:43:50,men are why brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,men's brazilian wax toronto,2016-04-27 21:43:50,men are why brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,men's brazilian wax los angeles,2016-04-27 21:43:50,men are why brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,men's brazilian wax dallas,2016-04-27 21:43:50,men are why brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,men's brazilian wax mississauga,2016-04-27 21:43:50,men are why brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,men's brazilian wax melbourne,2016-04-27 21:43:50,men are why brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,men's brazilian wax images,2016-04-27 21:43:50,men are why brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,men's brazilian wax denver,2016-04-27 21:43:50,men are why brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,men's brazilian wax philadelphia,2016-04-27 21:43:50,men are why brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,men's brazilian wax perth,2016-04-27 21:43:50,men are why brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
