0,why are brazilian cities growing so rapidly,2016-04-27 21:47:00,why are brazilian cities ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:47:00,why are cities brazilian ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:47:00,why brazilian are cities ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:47:00,why brazilian cities are ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:47:00,why cities are brazilian ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:47:01,why cities brazilian are ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:47:01,are why brazilian cities ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:47:01,are why cities brazilian ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:47:01,are brazilian why cities ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:47:01,are brazilian cities why ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:47:01,are cities brazilian why ,com.ar,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
