0,why are brazilian cities growing so rapidly,2016-04-27 21:46:53,why are brazilian cities ,com.br,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:46:53,why are cities brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:46:53,why brazilian are cities ,com.br,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:46:53,why brazilian cities are ,com.br,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:46:53,why cities are brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:46:53,why cities brazilian are ,com.br,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:46:53,are why brazilian cities ,com.br,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:46:53,are why cities brazilian ,com.br,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:46:54,are brazilian why cities ,com.br,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:46:54,are brazilian cities why ,com.br,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,why are brazilian cities growing so rapidly,2016-04-27 21:46:54,are cities brazilian why ,com.br,en,google, {'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.1779}
0,brazilian cities,2016-04-27 21:46:54,brazilian why are cities ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,brazilian cities by population,2016-04-27 21:46:54,brazilian why are cities ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,brazilian cities hosting world cup,2016-04-27 21:46:54,brazilian why are cities ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,brazilian cities map,2016-04-27 21:46:54,brazilian why are cities ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,brazilian cities names,2016-04-27 21:46:54,brazilian why are cities ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,brazilian cities and towns,2016-04-27 21:46:54,brazilian why are cities ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
