0,why is india so poor,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.499, 'neu': 0.501, 'pos': 0.0, 'compound': -0.6113}
1,why is india called bharat,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why is india so filthy,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why is india so populated,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why is india intolerant,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why is india called a subcontinent,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why is india so dirty,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.483, 'neu': 0.517, 'pos': 0.0, 'compound': -0.5777}
7,why is india so corrupt,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,why is india called india,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,why is india called republic,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why is india so backward,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why is india a developing country,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,why is india so hot,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,why is india great,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.6249}
14,why is india not part of nato,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,why is india so polluted,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.491, 'neu': 0.509, 'pos': 0.0, 'compound': -0.5949}
16,why is india called bharat mata,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,why is india so dusty,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,why is india famous,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,why is india lagging behind china,2016-04-27 21:42:59,why is india ,co.in,en,google, {'neg': 0.296, 'neu': 0.704, 'pos': 0.0, 'compound': -0.2732}
0,why india is called india,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why india is great,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.6249}
2,why india is not a great power (yet),2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.354, 'neu': 0.646, 'pos': 0.0, 'compound': -0.5096}
3,why india is poor,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.508, 'neu': 0.492, 'pos': 0.0, 'compound': -0.4767}
4,why india is called bharat,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why india is developing country,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why india is called republic,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why india is incredible,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,why india is not a developed country,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,why india is famous,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why india is called bharat mata,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why india is bad,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.538, 'neu': 0.462, 'pos': 0.0, 'compound': -0.5423}
12,why india is named as india,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,why india is called asiatic italy,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,why india is lagging in olympics,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.296, 'neu': 0.704, 'pos': 0.0, 'compound': -0.2732}
15,why india is called peninsula,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,why india is a democratic country,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,why india is best,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}
18,why india is intolerant,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,why india is backward,2016-04-27 21:42:59,why india is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why is india so poor,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.499, 'neu': 0.501, 'pos': 0.0, 'compound': -0.6113}
1,why is india called a subcontinent,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why is india so dirty,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.483, 'neu': 0.517, 'pos': 0.0, 'compound': -0.5777}
3,why is india so populated,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why is india banned from olympics,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.4588}
5,why is india a subcontinent,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why is india suspended from olympics,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}
7,why is india westbrooks famous,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,why is india considered a subcontinent,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,why is india poor,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.508, 'neu': 0.492, 'pos': 0.0, 'compound': -0.4767}
10,why is india not in the olympics,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why is india a developing country,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,why is india so filthy,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,why is india love westbrooks famous,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}
14,why is india overpopulated,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,why is india still a developing country,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,why is india called bharat,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,why is india so corrupt,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,why is india's population so high,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,why is india so hot,2016-04-27 21:42:59,is why india ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,india is great why,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.6249}
1,india is republic why,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,india is poor why,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.508, 'neu': 0.492, 'pos': 0.0, 'compound': -0.4767}
3,india is best why,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}
4,why is india so poor,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.499, 'neu': 0.501, 'pos': 0.0, 'compound': -0.6113}
5,why is india called a subcontinent,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why is india so dirty,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.483, 'neu': 0.517, 'pos': 0.0, 'compound': -0.5777}
7,why is india so populated,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,why is india banned from olympics,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.4588}
9,why is india a subcontinent,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why is india suspended from olympics,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}
11,why is india westbrooks famous,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,why is india considered a subcontinent,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,why is india not in the olympics,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,why is india a developing country,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,why is india so filthy,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
16,why is india love westbrooks famous,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}
17,why is india overpopulated,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,why is india still a developing country,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
19,why is india called bharat,2016-04-27 21:42:59,is india why ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,india why is the cow sacred,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,india why is it poor,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.437, 'neu': 0.563, 'pos': 0.0, 'compound': -0.4767}
2,why india is great,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.6249}
3,why india is called bharat,2016-04-27 21:42:59,india why is ,co.in,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
