0,why are indian elephants endangered,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are indian gods blue,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are indian names so long,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are indian burial grounds sacred,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are indian parents so strict,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why are indian markets falling,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.1531}
6,why are indian burial grounds haunted,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}
7,why are indian guys so unattractive,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.428, 'neu': 0.572, 'pos': 0.0, 'compound': -0.5777}
8,why are indian movies so cheesy,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,why are indian movies so long,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why are indian weddings so big,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why are indian mascots offensive,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.429, 'neu': 0.571, 'pos': 0.0, 'compound': -0.4588}
12,why are indian students deported,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,why are indian exports falling,2016-04-27 21:43:30,why are indian ,com.br,en,google, {'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.1531}
