0,why are indian elephants endangered,2016-04-27 21:43:40,why are indian ,com,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are indian gods blue,2016-04-27 21:43:40,why are indian ,com,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are indian burial grounds sacred,2016-04-27 21:43:40,why are indian ,com,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are indian names so long,2016-04-27 21:43:40,why are indian ,com,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are indian mascots offensive,2016-04-27 21:43:40,why are indian ,com,en,google, {'neg': 0.429, 'neu': 0.571, 'pos': 0.0, 'compound': -0.4588}
5,why are indian burial grounds haunted,2016-04-27 21:43:40,why are indian ,com,en,google, {'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}
6,why are indian parents so strict,2016-04-27 21:43:40,why are indian ,com,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why are indian names so weird,2016-04-27 21:43:40,why are indian ,com,en,google, {'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.3052}
8,why are indian movies so long,2016-04-27 21:43:40,why are indian ,com,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,why are indian trains so crowded,2016-04-27 21:43:40,why are indian ,com,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why are indian movies so cheesy,2016-04-27 21:43:40,why are indian ,com,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why are indian casinos legal,2016-04-27 21:43:40,why are indian ,com,en,google, {'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.128}
12,why are indian doctors so rude,2016-04-27 21:43:40,why are indian ,com,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
