0,women's indian clothing,2016-04-27 21:45:26,women why are indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,women's indian association,2016-04-27 21:45:26,women why are indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,women's indian association 1917,2016-04-27 21:45:26,women why are indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,women's indian tunics,2016-04-27 21:45:26,women why are indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,women's indian shoes,2016-04-27 21:45:26,women why are indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,women's indian wells tennis,2016-04-27 21:45:26,women why are indian ,com.np,en,google, {'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.25}
0,women's indian clothing,2016-04-27 21:45:26,women are why indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,women's indian association,2016-04-27 21:45:26,women are why indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,women's indian association 1917,2016-04-27 21:45:26,women are why indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,women's indian tunics,2016-04-27 21:45:26,women are why indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,women's indian shoes,2016-04-27 21:45:26,women are why indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,women's indian wells tennis,2016-04-27 21:45:26,women are why indian ,com.np,en,google, {'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.25}
