0,why are indian cities so polluted,2016-04-27 21:47:22,why are indian cities ,com.np,en,google, {'neg': 0.436, 'neu': 0.564, 'pos': 0.0, 'compound': -0.5949}
1,why are indian cities so dusty,2016-04-27 21:47:22,why are indian cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are indian cities unplanned,2016-04-27 21:47:22,why are indian cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are indian cities so unclean,2016-04-27 21:47:22,why are indian cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are indian cities renamed,2016-04-27 21:47:22,why are indian cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why indian cities change name,2016-04-27 21:47:22,why are indian cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why did indian cities changed names,2016-04-27 21:47:22,why are indian cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why have indian cities changed names,2016-04-27 21:47:22,why are indian cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,why indian cities are not clean,2016-04-27 21:47:22,why are indian cities ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
0,why are indian cities so unclean,2016-04-27 21:47:23,why are cities indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are indian cities renamed,2016-04-27 21:47:23,why are cities indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why indian cities change name,2016-04-27 21:47:23,why are cities indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why indian cities are not clean,2016-04-27 21:47:23,why are cities indian ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
0,why are indian cities so unclean,2016-04-27 21:47:23,why indian are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why indian cities are not clean,2016-04-27 21:47:23,why indian are cities ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
2,why are indian cities renamed,2016-04-27 21:47:23,why indian are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why indian cities change name,2016-04-27 21:47:23,why indian are cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian cities are not planned,2016-04-27 21:47:23,why indian cities are ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why indian cities are not clean,2016-04-27 21:47:23,why indian cities are ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
2,why are indian cities so unclean,2016-04-27 21:47:23,why indian cities are ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are indian cities so unclean,2016-04-27 21:47:23,why cities are indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why indian cities are not clean,2016-04-27 21:47:23,why cities are indian ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
2,why are indian cities renamed,2016-04-27 21:47:23,why cities are indian ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian cities are not clean,2016-04-27 21:47:23,why cities indian are ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
1,why are indian cities so unclean,2016-04-27 21:47:23,why cities indian are ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are indian cities so unclean,2016-04-27 21:47:23,are why indian cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are indian cities renamed,2016-04-27 21:47:23,are why indian cities ,com.np,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why indian cities are not clean,2016-04-27 21:47:23,are why indian cities ,com.np,en,google, {'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.3089}
