0,american men's institute,2016-04-27 21:44:52,american why are men ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,american men's clothing brands,2016-04-27 21:44:52,american why are men ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,american men's institute,2016-04-27 21:44:52,american are why men ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,american men's clothing brands,2016-04-27 21:44:52,american are why men ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,american men's tennis rankings,2016-04-27 21:44:52,american are why men ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,american men's studies association,2016-04-27 21:44:52,american are why men ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,american men's soccer team,2016-04-27 21:44:52,american are why men ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,men's american football costume,2016-04-27 21:44:53,men why are american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,men's american football tops,2016-04-27 21:44:53,men why are american ,ca,en,google, {'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.5106}
2,men's american apparel underwear,2016-04-27 21:44:53,men why are american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,men's american football jersey,2016-04-27 21:44:53,men why are american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,men's american football fancy dress,2016-04-27 21:44:53,men why are american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,men's american flag swimsuit,2016-04-27 21:44:53,men why are american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,men's american flag bathing suit,2016-04-27 21:44:53,men why are american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,men's american eagle shirts,2016-04-27 21:44:53,men why are american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,men's american apparel size chart,2016-04-27 21:44:53,men why are american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,men's american flag socks,2016-04-27 21:44:53,men why are american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,men's american flag boots,2016-04-27 21:44:53,men why are american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,men's american football costume,2016-04-27 21:44:53,men are why american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,men's american football tops,2016-04-27 21:44:53,men are why american ,ca,en,google, {'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.5106}
2,men's american apparel underwear,2016-04-27 21:44:53,men are why american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,men's american football jersey,2016-04-27 21:44:53,men are why american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,men's american football fancy dress,2016-04-27 21:44:53,men are why american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,men's american flag swimsuit,2016-04-27 21:44:53,men are why american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,men's american flag bathing suit,2016-04-27 21:44:53,men are why american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,men's american eagle shirts,2016-04-27 21:44:53,men are why american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,men's american apparel size chart,2016-04-27 21:44:53,men are why american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,men's american flag socks,2016-04-27 21:44:53,men are why american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,men's american flag boots,2016-04-27 21:44:53,men are why american ,ca,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
