0,why are american cities so big,2016-04-27 21:47:45,why are american cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american cities grid,2016-04-27 21:47:45,why are american cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so small,2016-04-27 21:47:45,why are american cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities so spread out,2016-04-27 21:47:45,why are american cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are american cities so boring,2016-04-27 21:47:45,why are american cities ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
5,why american cities don't burn,2016-04-27 21:47:45,why are american cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american cities so boring,2016-04-27 21:47:45,why are cities american ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
1,why are american cities so spread out,2016-04-27 21:47:45,why are cities american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so big,2016-04-27 21:47:45,why are cities american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities grid,2016-04-27 21:47:45,why are cities american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why american cities don't burn,2016-04-27 21:47:45,why are cities american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american cities so boring,2016-04-27 21:47:45,why american are cities ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
1,why are american cities so spread out,2016-04-27 21:47:45,why american are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so big,2016-04-27 21:47:45,why american are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities grid,2016-04-27 21:47:45,why american are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why american cities don't burn,2016-04-27 21:47:45,why american are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why american cities are fighting to attract immigrants,2016-04-27 21:47:46,why american cities are ,co.uk,en,google, {'neg': 0.227, 'neu': 0.545, 'pos': 0.227, 'compound': 0.0}
0,why are american cities so boring,2016-04-27 21:47:46,why cities are american ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
1,why are american cities so spread out,2016-04-27 21:47:46,why cities are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so big,2016-04-27 21:47:46,why cities are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities grid,2016-04-27 21:47:46,why cities are american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american cities so boring,2016-04-27 21:47:46,are why american cities ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
1,why are american cities so spread out,2016-04-27 21:47:46,are why american cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so big,2016-04-27 21:47:46,are why american cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities grid,2016-04-27 21:47:46,are why american cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,are american cities dying,2016-04-27 21:47:46,are why american cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american cities so boring,2016-04-27 21:47:46,are why cities american ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
1,why are american cities so spread out,2016-04-27 21:47:46,are why cities american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so big,2016-04-27 21:47:46,are why cities american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities grid,2016-04-27 21:47:46,are why cities american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,are american cities dying,2016-04-27 21:47:46,are why cities american ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,are american cities dying,2016-04-27 21:47:46,are american why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are american cities so boring,2016-04-27 21:47:46,are american why cities ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
2,why are american cities so spread out,2016-04-27 21:47:46,are american why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities so big,2016-04-27 21:47:46,are american why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are american cities grid,2016-04-27 21:47:46,are american why cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american cities so boring,2016-04-27 21:47:46,are american cities why ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
1,why are american cities so spread out,2016-04-27 21:47:46,are american cities why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so big,2016-04-27 21:47:46,are american cities why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities grid,2016-04-27 21:47:46,are american cities why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why are american cities so boring,2016-04-27 21:47:46,are cities american why ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
1,why are american cities so spread out,2016-04-27 21:47:46,are cities american why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are american cities so big,2016-04-27 21:47:46,are cities american why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are american cities grid,2016-04-27 21:47:46,are cities american why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,american cities are boring,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.434, 'neu': 0.566, 'pos': 0.0, 'compound': -0.3182}
1,american cities are dying,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why american cities don't burn,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,american cities,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,american cities by population,2016-04-27 21:47:47,american why are cities ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
